/db1/myserver/mysql/mysql_files/mysql/bin/mysqld, Version: 8.4.0 (MySQL Community Server - GPL). started with:
Tcp port: 3310  Unix socket: /db1/myserver/mysql/run/mysql.sock
Time                 Id Command    Argument
PHONE_REDACTEDT18:PORT:PORT.642051Z	   77 Quit	
PHONE_REDACTEDT18:PORT:PORT.089406Z	   74 Quit	
PHONE_REDACTEDT18:PORT:PORT.136015Z	   78 Connect	EMAIL_REDACTED on lead_lab using SSL/TLS
PHONE_REDACTEDT18:PORT:PORT.137968Z	   78 Query	/* mysql-connector-j-8.1.0 (Revision: 7b6f9a337afe6ccb41823df485bf848ca7952b09) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@collation_connection AS collation_connection, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_write_timeout AS net_write_timeout, @@performance_schema AS performance_schema, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@transaction_isolation AS transaction_isolation, @@wait_timeout AS wait_timeout
PHONE_REDACTEDT18:PORT:PORT.139514Z	   78 Query	SET character_set_results = NULL
PHONE_REDACTEDT18:PORT:PORT.140639Z	   78 Query	SET autocommit=1
PHONE_REDACTEDT18:PORT:PORT.141832Z	   78 Query	SELECT @@session.transaction_read_only
PHONE_REDACTEDT18:PORT:PORT.645201Z	   75 Quit	
PHONE_REDACTEDT18:PORT:PORT.689791Z	   79 Connect	EMAIL_REDACTED on lead_lab using SSL/TLS
PHONE_REDACTEDT18:PORT:PORT.691555Z	   79 Query	/* mysql-connector-j-8.1.0 (Revision: 7b6f9a337afe6ccb41823df485bf848ca7952b09) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@collation_connection AS collation_connection, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_write_timeout AS net_write_timeout, @@performance_schema AS performance_schema, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@transaction_isolation AS transaction_isolation, @@wait_timeout AS wait_timeout
PHONE_REDACTEDT18:PORT:PORT.693145Z	   79 Query	SET character_set_results = NULL
PHONE_REDACTEDT18:PORT:PORT.694049Z	   79 Query	SET autocommit=1
PHONE_REDACTEDT18:PORT:PORT.695142Z	   79 Query	SELECT @@session.transaction_read_only
PHONE_REDACTEDT19:PORT:PORT.932091Z	   78 Quit	
PHONE_REDACTEDT19:PORT:PORT.973270Z	   80 Connect	EMAIL_REDACTED on lead_lab using SSL/TLS
PHONE_REDACTEDT19:PORT:PORT.975046Z	   80 Query	/* mysql-connector-j-8.1.0 (Revision: 7b6f9a337afe6ccb41823df485bf848ca7952b09) */SELECT  @@session.auto_increment_increment AS auto_increment_increment, @@character_set_client AS character_set_client, @@character_set_connection AS character_set_connection, @@character_set_results AS character_set_results, @@character_set_server AS character_set_server, @@collation_server AS collation_server, @@collation_connection AS collation_connection, @@init_connect AS init_connect, @@interactive_timeout AS interactive_timeout, @@license AS license, @@lower_case_table_names AS lower_case_table_names, @@max_allowed_packet AS max_allowed_packet, @@net_write_timeout AS net_write_timeout, @@performance_schema AS performance_schema, @@sql_mode AS sql_mode, @@system_time_zone AS system_time_zone, @@time_zone AS time_zone, @@transaction_isolation AS transaction_isolation, @@wait_timeout AS wait_timeout
PHONE_REDACTEDT19:PORT:PORT.976521Z	   80 Query	SET character_set_results = NULL
PHONE_REDACTEDT19:PORT:PORT.977396Z	   80 Query	SET autocommit=1
PHONE_REDACTEDT19:PORT:PORT.978314Z	   80 Query	SELECT @@session.transaction_read_only
PHONE_REDACTEDT19:PORT:PORT.143251Z	   79 Quit	
PHONE_REDACTEDT19:PORT:PORT.186992Z	   81 Connect	EMAIL_REDACTED on lead_lab using SSL/TLS
